"PK_DHFF_OISEAUX";"CODE_N2000";"CD_NOM";"CD_REF";"NOM_N2000";"LB_NOM";"LB_AUTEUR";"NOM_VERN";"ANNEXE_I";"ANNEXE_II_A";"ANNEXE_II_B";"ANNEXE_III_A";"ANNEXE_III_B";"COMMENTAIRE"
170,00;"A174";"3261";"3261";"Stercorarius longicaudus";;;"Labbe à longue queue";"N";"N";"N";"N";"N";
171,00;"A175";"3263";"3263";"Catharacta skua";;;"Grand Labbe";"N";"N";"N";"N";"N";
172,00;"A176";"3272";"627745";"Larus melanocephalus";;;"Mouette mélanocéphale";"Y";"N";"N";"N";"N";
173,00;"A177";"3274";"534748";"Larus minutus";;;"Mouette pygmée";"Y";"N";"N";"N";"N";
174,00;"A178";"3328";"364251";"Larus sabini";;;"Mouette de Sabine";"N";"N";"N";"N";"N";
175,00;"A179";"3283";"530157";"Larus ridibundus";;;"Mouette rieuse";"N";"N";"Y";"N";"N";
176,00;"A180";"3285";"534662";"Larus genei";;;"Goéland railleur";"Y";"N";"N";"N";"N";
177,00;"A181";"3287";"627743";"Larus audouinii";;;"Goéland d'Audouin";"Y";"N";"N";"N";"N";
178,00;"A182";"3293";"3293";"Larus canus";;;"Goéland cendré";"N";"N";"Y";"N";"N";
179,00;"A183";"3297";"3297";"Larus fuscus";;;"Goéland brun";"N";"N";"Y";"N";"N";
180,00;"A184";"3302";"3302";"Larus argentatus";;;"Goéland argenté";"N";"N";"Y";"N";"N";
183,00;"A187";"3311";"3311";"Larus marinus";;;"Goéland marin";"N";"N";"Y";"N";"N";
184,00;"A188";"3318";"3318";"Rissa tridactyla";;;"Mouette tridactyle";"N";"N";"N";"N";"N";
185,00;"A189";"3332";"3332";"Gelochelidon nilotica";;;"Sterne hansel";"Y";"N";"N";"N";"N";
186,00;"A190";"3338";"3336";"Sterna caspia";;;"Sterne caspienne";"Y";"N";"N";"N";"N";
187,00;"A191";"3342";"3362";"Sterna sandvicensis";;;"Sterne caugek";"Y";"N";"N";"N";"N";
188,00;"A192";"3364";"3364";"Sterna dougallii";;;"Sterne de Dougall";"Y";"N";"N";"N";"N";
189,00;"A193";"3343";"3343";"Sterna hirundo";;;"Sterne pierregarin";"Y";"N";"N";"N";"N";
190,00;"A194";"3345";"3345";"Sterna paradisaea";;;"Sterne arctique";"Y";"N";"N";"N";"N";
191,00;"A195";"3350";"3352";"Sterna albifrons";;;"Sterne naine";"Y";"N";"N";"N";"N";
192,00;"A196";"3367";"459627";"Chlidonias hybridus";;;"Guifette moustac";"Y";"N";"N";"N";"N";
193,00;"A197";"3371";"3371";"Chlidonias niger";;;"Guifette noire";"Y";"N";"N";"N";"N";
195,00;"A199";"3379";"3379";"Uria aalge";;;"Guillemot de Troïl";"N";"N";"N";"N";"N";
196,00;"A200";"3388";"3388";"Alca torda";;;"Petit Pingouin, Pingouin torda";"N";"N";"N";"N";"N";
199,00;"A204";"3402";"3402";"Fratercula arctica";;;"Macareux moine";"N";"N";"N";"N";"N";
200,00;"A205";"3408";"3408";"Pterocles alchata";;;"Ganga cata";"Y";"N";"N";"N";"N";
210,00;"A215";"3493";"3493";"Bubo bubo";;;"Grand-duc d'Europe";"Y";"N";"N";"N";"N";
212,00;"A217";"3507";"3507";"Glaucidium passerinum";;;"Chouette chevêchette, Chevêchette d'Europe";"Y";"N";"N";"N";"N";
217,00;"A222";"3525";"3525";"Asio flammeus";;;"Hibou des marais";"Y";"N";"N";"N";"N";
218,00;"A223";"3533";"3533";"Aegolius funereus";;;"Chouette de Tengmalm";"Y";"N";"N";"N";"N";
219,00;"A224";"3540";"3540";"Caprimulgus europaeus";;;"Engoulevent d'Europe";"Y";"N";"N";"N";"N";
224,00;"A229";"3571";"3571";"Alcedo atthis";;;"Martin-pêcheur d'Europe";"Y";"N";"N";"N";"N";
226,00;"A231";"3586";"3586";"Coracias garrulus";;;"Rollier d'Europe";"Y";"N";"N";"N";"N";
229,00;"A234";"3601";"3601";"Picus canus";;;"Pic cendré";"Y";"N";"N";"N";"N";
231,00;"A236";"3608";"3608";"Dryocopus martius";;;"Pic noir";"Y";"N";"N";"N";"N";
233,00;"A238";"3619";"3619";"Dendrocopos medius";;;"Pic mar";"Y";"N";"N";"N";"N";
234,00;"A239";"3625";"3625";"Dendrocopos leucotos";;;"Pic à dos blanc";"Y";"N";"N";"N";"N";
236,00;"A241";"3638";"3638";"Picoides tridactylus";;;"Pic tridactyle";"Y";"N";"N";"N";"N";
237,00;"A242";"3644";"3644";"Melanocorypha calandra";;;"Alouette calandre";"Y";"N";"N";"N";"N";
238,00;"A243";"3649";"3649";"Calandrella brachydactyla";;;"Alouette calandrelle";"Y";"N";"N";"N";"N";
240,00;"A245";"3661";"3661";"Galerida theklae";;;"Cochevis de Thékla";"Y";"N";"N";"N";"N";
241,00;"A246";"3670";"3670";"Lullula arborea";;;"Alouette lulu";"Y";"N";"N";"N";"N";
250,00;"A255";"3713";"3713";"Anthus campestris";;;"Pipit rousseline";"Y";"N";"N";"N";"N";
267,00;"A272";"4023";"4023";"Luscinia svecica";;;"Gorgebleue à miroir";"Y";"N";"N";"N";"N";
288,00;"A293";"4180";"4180";"Acrocephalus melanopogon";;;"Lusciniole à moustaches";"Y";"N";"N";"N";"N";
289,00;"A294";"4184";"4184";"Acrocephalus paludicola";;;"Phragmite aquatique";"Y";"N";"N";"N";"N";
296,00;"A301";"4219";"4219";"Sylvia sarda";;;"Fauvette sarde";"Y";"N";"N";"N";"N";
297,00;"A302";"4221";"4221";"Sylvia undata";;;"Fauvette pitchou";"Y";"N";"N";"N";"N";
315,00;"A320";"4324";"4324";"Ficedula parva";;;"Gobemouche nain";"Y";"N";"N";"N";"N";
316,00;"A321";"4327";"4327";"Ficedula albicollis";;;"Gobemouche à collier";"Y";"N";"N";"N";"N";
326,00;"A331";"3772";"3772";"Sitta whiteheadi";;;"Sittelle corse";"Y";"N";"N";"N";"N";
333,00;"A338";"3807";"3807";"Lanius collurio";;;"Pie-grièche écorcheur";"Y";"N";"N";"N";"N";
334,00;"A339";"3811";"3811";"Lanius minor";;;"Pie-grièche à poitrine rose";"Y";"N";"N";"N";"N";
341,00;"A346";"4488";"4488";"Pyrrhocorax pyrrhocorax";;;"Crave à bec rouge";"Y";"N";"N";"N";"N";
374,00;"A379";"4665";"4665";"Emberiza hortulana";;;"Bruant ortolan";"Y";"N";"N";"N";"N";
379,00;"A384";"1036";"199318";"Puffinus puffinus mauretanicus";;;"Puffin des Baléares";"Y";"N";"N";"N";"N";
386,00;"A391";"2440";"2440";"Phalacrocorax carbo sinensis";;;"Grand Cormoran (continental)";"N";"N";"N";"N";"N";
387,00;"A392";"2452";"2452";"Phalacrocorax aristotelis desmarestii";;;"Cormoran huppé de Méditerranée, Cormoran de Desmarest";"Y";"N";"N";"N";"N";
394,00;"A399";"2836";"2836";"Elanus caeruleus";;;"Elanion blanc";"Y";"N";"N";"N";"N";
395,00;"A400";"2894";"2894";"Accipiter gentilis arrigonii";;;"Autour des palombes de Corse";"Y";"N";"N";"N";"N";
401,00;"A407";"2957";"534782";"Lagopus mutus pyrenaicus";;;"Lagopède alpin (Lagopède des Pyrénées)";"Y";"N";"N";"N";"N";
402,00;"A408";"2954";"2954";"Lagopus mutus helveticus";;;"Lagopède alpin (Lagopède des Alpes)";"Y";"N";"N";"N";"N";
403,00;"A409";"2960";"2962";"Tetrao tetrix tetrix";;;"Tétras lyre";"Y";"N";"N";"N";"N";
406,00;"A412";"2971";"2971";"Alectoris graeca saxatilis";;;"Perdrix bartavelle";"Y";"N";"N";"N";"N";
409,00;"A415";"2992";"2992";"Perdix perdix hispaniensis";;;"Perdrix grise ""de montagne""";"Y";"N";"N";"N";"N";
457,00;"A464";"1031";"1031";"Puffinus yelkouan";;;"Puffin yelkouan";"Y";"N";"N";"N";"N";
534,00;"A604";"199374";"199374";"Larus michahellis";;;"Goéland leucophée";"N";"N";"N";"N";"N";
