"FPK_NATURA";"SITECODE";"CD_INSEE";"NUTS";"LB_ADM";"CD_INSEE_REG_NEW";"LB_REG_NEW"
7957,00;"FR7200685";"72";"FR61";"AQUITAINE";"75";"Nouvelle-Aquitaine"
7959,00;"FR7200737";"72";"FR61";"AQUITAINE";"75";"Nouvelle-Aquitaine"
7959,00;"FR7200737";"73";"FR62";"MIDI-PYRENEES";"76";"Occitanie"
7960,00;"FR7200739";"72";"FR61";"AQUITAINE";"75";"Nouvelle-Aquitaine"
7961,00;"FR7200770";"72";"FR61";"AQUITAINE";"75";"Nouvelle-Aquitaine"
7965,00;"FR8201675";"82";"FR71";"RHONE-ALPES";"84";"Auvergne-Rhone-Alpes"
7966,00;"FR8201753";"82";"FR71";"RHONE-ALPES";"84";"Auvergne-Rhone-Alpes"
7967,00;"FR8201764";"82";"FR71";"RHONE-ALPES";"84";"Auvergne-Rhone-Alpes"
7968,00;"FR8301076";"83";"FR72";"AUVERGNE";"84";"Auvergne-Rhone-Alpes"
7969,00;"FR8301084";"83";"FR72";"AUVERGNE";"84";"Auvergne-Rhone-Alpes"
7970,00;"FR9101352";"91";"FR81";"LANGUEDOC-ROUSSILLON";"76";"Occitanie"
7971,00;"FR9101355";"91";"FR81";"LANGUEDOC-ROUSSILLON";"76";"Occitanie"
7972,00;"FR9101369";"91";"FR81";"LANGUEDOC-ROUSSILLON";"76";"Occitanie"
8110,00;"FR2100249";"21";"FR21";"CHAMPAGNE-ARDENNE";"44";"Grand-Est"
8110,00;"FR2100249";"26";"FR26";"BOURGOGNE";"27";"Bourgogne-Franche-Comte"
8111,00;"FR2100256";"21";"FR21";"CHAMPAGNE-ARDENNE";"44";"Grand-Est"
8113,00;"FR2100283";"21";"FR21";"CHAMPAGNE-ARDENNE";"44";"Grand-Est"
8114,00;"FR2100292";"21";"FR21";"CHAMPAGNE-ARDENNE";"44";"Grand-Est"
8115,00;"FR2100293";"21";"FR21";"CHAMPAGNE-ARDENNE";"44";"Grand-Est"
8116,00;"FR2100295";"21";"FR21";"CHAMPAGNE-ARDENNE";"44";"Grand-Est"
8117,00;"FR2100296";"21";"FR21";"CHAMPAGNE-ARDENNE";"44";"Grand-Est"
8119,00;"FR2100300";"21";"FR21";"CHAMPAGNE-ARDENNE";"44";"Grand-Est"
8120,00;"FR2100305";"21";"FR21";"CHAMPAGNE-ARDENNE";"44";"Grand-Est"
