"FPK_NATURA";"SITECODE";"CD_INSEE";"NUTS";"LB_ADM";"CD_INSEE_REG_NEW";"LB_REG_NEW"
7625,00;"FR7200782";"72";"FR61";"AQUITAINE";"75";"Nouvelle-Aquitaine"
7626,00;"FR7200787";"72";"FR61";"AQUITAINE";"75";"Nouvelle-Aquitaine"
7627,00;"FR7200788";"72";"FR61";"AQUITAINE";"75";"Nouvelle-Aquitaine"
7630,00;"FR7200792";"72";"FR61";"AQUITAINE";"75";"Nouvelle-Aquitaine"
7631,00;"FR7200813";"72";"FR61";"AQUITAINE";"75";"Nouvelle-Aquitaine"
7632,00;"FR7300825";"73";"FR62";"MIDI-PYRENEES";"76";"Occitanie"
7635,00;"FR8201638";"82";"FR71";"RHONE-ALPES";"84";"Auvergne-Rhone-Alpes"
7636,00;"FR8201643";"82";"FR71";"RHONE-ALPES";"84";"Auvergne-Rhone-Alpes"
7639,00;"FR8201670";"82";"FR71";"RHONE-ALPES";"84";"Auvergne-Rhone-Alpes"
7640,00;"FR8201679";"82";"FR71";"RHONE-ALPES";"84";"Auvergne-Rhone-Alpes"
7642,00;"FR8201694";"82";"FR71";"RHONE-ALPES";"84";"Auvergne-Rhone-Alpes"
7643,00;"FR8201695";"82";"FR71";"RHONE-ALPES";"84";"Auvergne-Rhone-Alpes"
7644,00;"FR8201698";"82";"FR71";"RHONE-ALPES";"84";"Auvergne-Rhone-Alpes"
7647,00;"FR8201711";"82";"FR71";"RHONE-ALPES";"84";"Auvergne-Rhone-Alpes"
7648,00;"FR8201732";"82";"FR71";"RHONE-ALPES";"84";"Auvergne-Rhone-Alpes"
7650,00;"FR8201775";"82";"FR71";"RHONE-ALPES";"84";"Auvergne-Rhone-Alpes"
7652,00;"FR8301012";"83";"FR72";"AUVERGNE";"84";"Auvergne-Rhone-Alpes"
7654,00;"FR8301058";"83";"FR72";"AUVERGNE";"84";"Auvergne-Rhone-Alpes"
7655,00;"FR8301061";"83";"FR72";"AUVERGNE";"84";"Auvergne-Rhone-Alpes"
7656,00;"FR8301065";"83";"FR72";"AUVERGNE";"84";"Auvergne-Rhone-Alpes"
7658,00;"FR8301068";"83";"FR72";"AUVERGNE";"84";"Auvergne-Rhone-Alpes"
7661,00;"FR8301096";"83";"FR72";"AUVERGNE";"84";"Auvergne-Rhone-Alpes"
7662,00;"FR8302014";"83";"FR72";"AUVERGNE";"84";"Auvergne-Rhone-Alpes"
7663,00;"FR8302015";"73";"FR62";"MIDI-PYRENEES";"76";"Occitanie"
7663,00;"FR8302015";"83";"FR72";"AUVERGNE";"84";"Auvergne-Rhone-Alpes"
7664,00;"FR8302019";"83";"FR72";"AUVERGNE";"84";"Auvergne-Rhone-Alpes"
7665,00;"FR8302034";"83";"FR72";"AUVERGNE";"84";"Auvergne-Rhone-Alpes"
7666,00;"FR8302038";"83";"FR72";"AUVERGNE";"84";"Auvergne-Rhone-Alpes"
7667,00;"FR9101392";"91";"FR81";"LANGUEDOC-ROUSSILLON";"76";"Occitanie"
7669,00;"FR9101453";"91";"FR81";"LANGUEDOC-ROUSSILLON";"76";"Occitanie"
7671,00;"FR9301546";"93";"FR82";"PROVENCE-ALPES-COTE-D'AZUR";"93";"Provence-Alpes-Côte-d'Azur"
7676,00;"FR9400570";"94";"FR83";"CORSE";"94";"Corse"
7677,00;"FR9400609";"94";"FR83";"CORSE";"94";"Corse"
7678,00;"FR9402001";"94";"FR83";"CORSE";"94";"Corse"
7679,00;"FR9402010";"94";"FR83";"CORSE";"94";"Corse"
7680,00;"FR9402017";"94";"FR83";"CORSE";"94";"Corse"
7682,00;"FR1100814";"11";"FR10";"ILE-DE-FRANCE";"11";"Ile-de-France"
7683,00;"FR1110025";"11";"FR10";"ILE-DE-FRANCE";"11";"Ile-de-France"
7684,00;"FR1110102";"11";"FR10";"ILE-DE-FRANCE";"11";"Ile-de-France"
7685,00;"FR1110795";"11";"FR10";"ILE-DE-FRANCE";"11";"Ile-de-France"
7686,00;"FR1112001";"11";"FR10";"ILE-DE-FRANCE";"11";"Ile-de-France"
7687,00;"FR1112002";"11";"FR10";"ILE-DE-FRANCE";"11";"Ile-de-France"
7688,00;"FR1112003";"11";"FR10";"ILE-DE-FRANCE";"11";"Ile-de-France"
7689,00;"FR1112011";"11";"FR10";"ILE-DE-FRANCE";"11";"Ile-de-France"
7690,00;"FR1112012";"11";"FR10";"ILE-DE-FRANCE";"11";"Ile-de-France"
7691,00;"FR1112013";"11";"FR10";"ILE-DE-FRANCE";"11";"Ile-de-France"
7694,00;"FR2100253";"21";"FR21";"CHAMPAGNE-ARDENNE";"44";"Grand-Est"
7696,00;"FR2100257";"21";"FR21";"CHAMPAGNE-ARDENNE";"44";"Grand-Est"
7697,00;"FR2100262";"21";"FR21";"CHAMPAGNE-ARDENNE";"44";"Grand-Est"
7698,00;"FR2100267";"21";"FR21";"CHAMPAGNE-ARDENNE";"44";"Grand-Est"
7699,00;"FR2100268";"21";"FR21";"CHAMPAGNE-ARDENNE";"44";"Grand-Est"
7700,00;"FR2100286";"21";"FR21";"CHAMPAGNE-ARDENNE";"44";"Grand-Est"
7702,00;"FR2100291";"21";"FR21";"CHAMPAGNE-ARDENNE";"44";"Grand-Est"
7707,00;"FR2100311";"21";"FR21";"CHAMPAGNE-ARDENNE";"44";"Grand-Est"
7710,00;"FR2100320";"21";"FR21";"CHAMPAGNE-ARDENNE";"44";"Grand-Est"
7710,00;"FR2100320";"41";"FR41";"LORRAINE";"44";"Grand-Est"
7711,00;"FR2100322";"21";"FR21";"CHAMPAGNE-ARDENNE";"44";"Grand-Est"
7714,00;"FR2100331";"21";"FR21";"CHAMPAGNE-ARDENNE";"44";"Grand-Est"
7716,00;"FR2100333";"21";"FR21";"CHAMPAGNE-ARDENNE";"44";"Grand-Est"
7717,00;"FR2100335";"21";"FR21";"CHAMPAGNE-ARDENNE";"44";"Grand-Est"
7719,00;"FR2100340";"21";"FR21";"CHAMPAGNE-ARDENNE";"44";"Grand-Est"
7724,00;"FR2502001";"25";"FR25";"BASSE-NORMANDIE";"28";"Normandie"
7725,00;"FR2502019";"25";"FR25";"BASSE-NORMANDIE";"28";"Normandie"
7726,00;"FR2600956";"26";"FR26";"BOURGOGNE";"27";"Bourgogne-Franche-Comte"
7727,00;"FR2600957";"26";"FR26";"BOURGOGNE";"27";"Bourgogne-Franche-Comte"
7729,00;"FR2600973";"26";"FR26";"BOURGOGNE";"27";"Bourgogne-Franche-Comte"
7731,00;"FR2600975";"26";"FR26";"BOURGOGNE";"27";"Bourgogne-Franche-Comte"
7733,00;"FR2601005";"26";"FR26";"BOURGOGNE";"27";"Bourgogne-Franche-Comte"
7737,00;"FR4100190";"41";"FR41";"LORRAINE";"44";"Grand-Est"
7740,00;"FR4201798";"42";"FR42";"ALSACE";"44";"Grand-Est"
7742,00;"FR4201805";"42";"FR42";"ALSACE";"44";"Grand-Est"
7743,00;"FR4202000";"42";"FR42";"ALSACE";"44";"Grand-Est"
7745,00;"FR4301283";"43";"FR43";"FRANCHE-COMTE";"27";"Bourgogne-Franche-Comte"
7747,00;"FR4301309";"43";"FR43";"FRANCHE-COMTE";"27";"Bourgogne-Franche-Comte"
7750,00;"FR4301342";"43";"FR43";"FRANCHE-COMTE";"27";"Bourgogne-Franche-Comte"
7754,00;"FR5310011";"53";"FR52";"BRETAGNE";"53";"Bretagne"
7755,00;"FR5310050";"53";"FR52";"BRETAGNE";"53";"Bretagne"
7757,00;"FR5310055";"53";"FR52";"BRETAGNE";"53";"Bretagne"
7759,00;"FR5310057";"53";"FR52";"BRETAGNE";"53";"Bretagne"
7760,00;"FR5310070";"53";"FR52";"BRETAGNE";"53";"Bretagne"
7762,00;"FR5310072";"53";"FR52";"BRETAGNE";"53";"Bretagne"
7763,00;"FR5310073";"53";"FR52";"BRETAGNE";"53";"Bretagne"
7764,00;"FR5310074";"53";"FR52";"BRETAGNE";"53";"Bretagne"
7765,00;"FR5310086";"53";"FR52";"BRETAGNE";"53";"Bretagne"
7766,00;"FR5310092";"53";"FR52";"BRETAGNE";"53";"Bretagne"
7769,00;"FR5310095";"53";"FR52";"BRETAGNE";"53";"Bretagne"
7770,00;"FR5312003";"53";"FR52";"BRETAGNE";"53";"Bretagne"
7771,00;"FR5312004";"53";"FR52";"BRETAGNE";"53";"Bretagne"
7772,00;"FR5312005";"53";"FR52";"BRETAGNE";"53";"Bretagne"
7773,00;"FR5312009";"53";"FR52";"BRETAGNE";"53";"Bretagne"
7774,00;"FR5312010";"53";"FR52";"BRETAGNE";"53";"Bretagne"
7775,00;"FR5312011";"53";"FR52";"BRETAGNE";"53";"Bretagne"
7782,00;"FR7401129";"74";"FR63";"LIMOUSIN";"75";"Nouvelle-Aquitaine"
7783,00;"FR7401145";"74";"FR63";"LIMOUSIN";"75";"Nouvelle-Aquitaine"
7784,00;"FR7401147";"74";"FR63";"LIMOUSIN";"75";"Nouvelle-Aquitaine"
7787,00;"FR8201720";"82";"FR71";"RHONE-ALPES";"84";"Auvergne-Rhone-Alpes"
7789,00;"FR8301088";"82";"FR71";"RHONE-ALPES";"84";"Auvergne-Rhone-Alpes"
7789,00;"FR8301088";"83";"FR72";"AUVERGNE";"84";"Auvergne-Rhone-Alpes"
7793,00;"FR9101357";"91";"FR81";"LANGUEDOC-ROUSSILLON";"76";"Occitanie"
7796,00;"FR9101458";"91";"FR81";"LANGUEDOC-ROUSSILLON";"76";"Occitanie"
7797,00;"FR9102005";"91";"FR81";"LANGUEDOC-ROUSSILLON";"76";"Occitanie"
7798,00;"FR9102008";"91";"FR81";"LANGUEDOC-ROUSSILLON";"76";"Occitanie"
7803,00;"FR9400588";"94";"FR83";"CORSE";"94";"Corse"
7805,00;"FR1102009";"11";"FR10";"ILE-DE-FRANCE";"11";"Ile-de-France"
7806,00;"FR2200399";"22";"FR22";"PICARDIE";"32";"Hauts-De-France"
7807,00;"FR2302010";"23";"FR23";"HAUTE-NORMANDIE";"28";"Normandie"
7808,00;"FR2400564";"24";"FR24";"CENTRE";"24";"Centre"
7809,00;"FR2600966";"26";"FR26";"BOURGOGNE";"27";"Bourgogne-Franche-Comte"
7810,00;"FR2600971";"26";"FR26";"BOURGOGNE";"27";"Bourgogne-Franche-Comte"
7812,00;"FR2601017";"26";"FR26";"BOURGOGNE";"27";"Bourgogne-Franche-Comte"
7812,00;"FR2601017";"83";"FR72";"AUVERGNE";"84";"Auvergne-Rhone-Alpes"
7813,00;"FR4100172";"41";"FR41";"LORRAINE";"44";"Grand-Est"
7814,00;"FR4301280";"43";"FR43";"FRANCHE-COMTE";"27";"Bourgogne-Franche-Comte"
7815,00;"FR4301288";"43";"FR43";"FRANCHE-COMTE";"27";"Bourgogne-Franche-Comte"
7816,00;"FR4301289";"43";"FR43";"FRANCHE-COMTE";"27";"Bourgogne-Franche-Comte"
