"PK_DHFF_HABITAT";"CD_UE";"LB_NIVEAU1";"LB_NIVEAU2";"FRANCE";"LB_HABDH_FR";"HDNAME";"PRIORITAIRE";"ALP";"ATL";"CON";"MED";"MATL";"MMED";"TERRE";"MER";"COMMENTAIRE"
124,00;"9330";"Forêts";"Forêts sclérophylles méditerranéennes";"true";"Forêts à Quercus suber";"Quercus suber forests";"false";;1,00;;1,00;;;"true";"false";
125,00;"9340";"Forêts";"Forêts sclérophylles méditerranéennes";"true";"Forêts à Quercus ilex et Quercus rotundifolia";"Quercus ilex and Quercus rotundifolia forests";"false";1,00;1,00;;1,00;;;"true";"false";
126,00;"9380";"Forêts";"Forêts sclérophylles méditerranéennes";"true";"Forêts à Ilex aquifolium";"Forests of Ilex aquifolium";"false";;;;1,00;;;"true";"false";
127,00;"9410";"Forêts";"Forêts de conifères des montagnes tempérées";"true";"Forêts acidophiles à Picea des étages montagnard à alpin (Vaccinio-Piceetea)";"Acidophilous Picea forests of the montane to alpine levels (Vaccinio-Piceetea)";"false";1,00;;1,00;;;;"true";"false";
128,00;"9420";"Forêts";"Forêts de conifères des montagnes tempérées";"true";"Forêts alpines à Larix decidua et/ou Pinus cembra";"Alpine Larix decidua and/or Pinus cembra forests";"false";1,00;;;;;;"true";"false";
129,00;"9430";"Forêts";"Forêts de conifères des montagnes tempérées";"true";"Forêts montagnardes et subalpines à Pinus uncinata (* si sur substrat gypseux ou calcaire)";"Subalpine and montane Pinus uncinata forests (* if on gypsum or limestone)";"false";1,00;;1,00;1,00;;;"true";"false";
130,00;"9530";"Forêts";"Forêts de conifères des montagnes méditerranéennes";"true";"Pinèdes (sub)méditerranéennes de pins noirs endémiques";"(Sub-) Mediterranean pine forests with endemic black pines";"true";;;;1,00;;;"true";"false";
131,00;"9540";"Forêts";"Forêts de conifères des montagnes méditerranéennes";"true";"Pinèdes méditerranéennes de pins mésogéens endémiques";"Mediterranean pine forests with endemic Mesogean pines";"false";;14,00;;1,00;;;"true";"false";"ATL-SR"
132,00;"9560";"Forêts";"Forêts de conifères des montagnes méditerranéennes";"true";"Forêts endémiques à Juniperus spp.";"Endemic forests with Juniperus spp.";"true";1,00;;;1,00;;;"true";"false";
133,00;"9580";"Forêts";"Forêts de conifères des montagnes méditerranéennes";"true";"Bois méditerranéens à Taxus baccata";"Mediterranean Taxus baccata woods";"true";;;;1,00;;;"true";"false";
134,00;"1180";"Habitats côtiers et végétations halophytiques";"Eaux marines et milieux à marées";"true";"Structures sous-marines causées par des émissions de gaz";"Submarine structures made by leaking gases";"false";;;;;;;"true";"false";"Deux sites proposés en Bretagne pour le réseau Natura2000"
