"PK_OWNERSHIP";"FPK_NATURA";"SITECODE";"TYPE";"LB_STPRO";"COVER"
"11786";"6937";"FR8201700";"20";"Collectivité territoriale";
"11787";"6937";"FR8201700";"60";"Domaine de l'état";
"11788";"6939";"FR8201703";"01";"Propriété privée (personne physique)";
"11789";"6939";"FR8201703";"05";"Propriété d'une association, groupement ou société";
"11790";"6939";"FR8201703";"20";"Collectivité territoriale";
"11791";"6939";"FR8201703";"50";"Domaine régional";
"11795";"6941";"FR8201709";"01";"Propriété privée (personne physique)";
"11796";"6941";"FR8201709";"05";"Propriété d'une association, groupement ou société";
"11797";"6941";"FR8201709";"20";"Collectivité territoriale";
"11802";"6944";"FR8201762";"01";"Propriété privée (personne physique)";
"11803";"6944";"FR8201762";"05";"Propriété d'une association, groupement ou société";
"11804";"6944";"FR8201762";"62";"Domaine public de l'état";
"11805";"6946";"FR8201768";"01";"Propriété privée (personne physique)";"100"
"11813";"6949";"FR8201780";"05";"Propriété d'une association, groupement ou société";"1,6"
"11814";"6949";"FR8201780";"20";"Collectivité territoriale";"96"
"11815";"6949";"FR8201780";"60";"Domaine de l'état";"1"
"11816";"6949";"FR8201780";"90";"Autre";"1"
"11822";"6951";"FR8301037";"05";"Propriété d'une association, groupement ou société";"60"
"11823";"6951";"FR8301037";"32";"Domaine public communal";"27"
"11824";"6951";"FR8301037";"62";"Domaine public de l'état";"2"
"11830";"6954";"FR8301049";"40";"Domaine départemental";"36,66"
"11831";"6954";"FR8301049";"30";"Domaine communal";"21,37"
"11835";"6956";"FR8302016";"01";"Propriété privée (personne physique)";
"11838";"6959";"FR9101374";"00";"Indéterminé";"100"
"11839";"6960";"FR9101381";"00";"Indéterminé";"100"
"11840";"6961";"FR9101385";"00";"Indéterminé";"100"
"11846";"6963";"FR9101389";"00";"Indéterminé";"100"
"11855";"6965";"FR9101399";"01";"Propriété privée (personne physique)";
"11856";"6965";"FR9101399";"05";"Propriété d'une association, groupement ou société";
"11857";"6965";"FR9101399";"20";"Collectivité territoriale";
"11858";"6965";"FR9101399";"50";"Domaine régional";
"11859";"6965";"FR9101399";"00";"Indéterminé";"100"
"11860";"6966";"FR9101402";"01";"Propriété privée (personne physique)";"59"
"11861";"6966";"FR9101402";"30";"Domaine communal";"31"
"11862";"6966";"FR9101402";"90";"Autre";"5"
"11863";"6966";"FR9101402";"00";"Indéterminé";"5"
"11864";"6967";"FR9101403";"01";"Propriété privée (personne physique)";"7"
